FY19,DEPARTMENT_NAME,DIVISION_NAME,ORG_NAME,ORG_DESC,FUND,FUND_NAME,ACCT_TYPE,ACCT_CAT,ACCT_CODE,ACCT_DESCR,AMOUNT,FID
FY19,Engineering,Engineering Services,Administration,1000 - Administration,6220,Engineering Services,EXPENSE,Supplies,7910,Subscriptions and Publications,1500,1024
FY19,Engineering,Engineering Services,Administration,1000 - Administration,6220,Engineering Services,EXPENSE,Other Services and Charges,8010,Contractual Services,304583,1025
FY19,Engineering,Engineering Services,Administration,1000 - Administration,6220,Engineering Services,EXPENSE,Other Services and Charges,8240,Fees,1500,1026
FY19,Engineering,Engineering Services,Administration,1000 - Administration,6220,Engineering Services,EXPENSE,Other Services and Charges,8450,Claims,55549,1027
FY19,Engineering,Engineering Services,Administration,1000 - Administration,6220,Engineering Services,EXPENSE,Other Services and Charges,8500,Telephone,17000,1028
FY19,Engineering,Engineering Services,Administration,1000 - Administration,6220,Engineering Services,EXPENSE,Other Services and Charges,8505,Employee Phone Reimbursement,3000,1029
FY19,Engineering,Engineering Services,Administration,1000 - Administration,6220,Engineering Services,EXPENSE,Other Services and Charges,8510,Postage,1500,1030
FY19,Engineering,Engineering Services,Administration,1000 - Administration,6220,Engineering Services,EXPENSE,Other Services and Charges,8800,Community Promotion,170713,1031
FY19,Engineering,Engineering Services,Administration,1000 - Administration,6220,Engineering Services,EXPENSE,Other Services and Charges,9000,Printing & Publishing,1500,1032
FY19,Engineering,Engineering Services,Administration,1000 - Administration,6220,Engineering Services,EXPENSE,Other Services and Charges,9100,Professional Development,19500,1033
FY19,Engineering,Engineering Services,Administration,1000 - Administration,6220,Engineering Services,EXPENSE,Other Services and Charges,9130,Local Business Expense,675,1034
FY19,Engineering,Engineering Services,Administration,1000 - Administration,6220,Engineering Services,EXPENSE,Other Services and Charges,9150,Memberships,4497,1035
FY19,Engineering,Engineering Services,Administration,1000 - Administration,6220,Engineering Services,EXPENSE,Other Services and Charges,9410,Equipment Rentals or Lease,19742,1036
FY19,Engineering,Engineering Services,Administration,1000 - Administration,6220,Engineering Services,EXPENSE,Other Services and Charges,9430,Buildings Rentals or Lease-Facility Mgmt,168490,1037
FY19,Engineering,Engineering Services,Administration,1000 - Administration,6220,Engineering Services,EXPENSE,Other Services and Charges,9440,Fleet Management Equipment Charges,43218,1038
FY19,Engineering,Engineering Services,Administration,1000 - Administration,6220,Engineering Services,EXPENSE,Other Services and Charges,9450,311 Call Center Services,30333,1039
FY19,Engineering,Engineering Services,Administration,1000 - Administration,6220,Engineering Services,EXPENSE,Other Services and Charges,9470,Employee Parking,69155,1040
FY19,Engineering,Engineering Services,Administration,1000 - Administration,6220,Engineering Services,EXPENSE,Other Services and Charges,9480,Computer Services-from IT,169906,1041
FY19,Engineering,Engineering Services,Administration,1000 - Administration,6220,Engineering Services,EXPENSE,Other Financing,9952,Operating Transfers-A87 Cost,432452,1042
FY19,Engineering,Engineering Services,Non-Projects Engineering,2000 - Non-Projects Engineering,6220,Engineering Services,EXPENSE,Personnel Services,7020,Full Time Employees,87778,1043
FY19,Engineering,Engineering Services,Non-Projects Engineering,2000 - Non-Projects Engineering,6220,Engineering Services,EXPENSE,Personnel Services,7105,Employers FICA,6710,1044
FY19,Engineering,Engineering Services,Non-Projects Engineering,2000 - Non-Projects Engineering,6220,Engineering Services,EXPENSE,Personnel Services,7110,Hospitalization Insurance,13680,1045
FY19,Engineering,Engineering Services,Non-Projects Engineering,2000 - Non-Projects Engineering,6220,Engineering Services,EXPENSE,Personnel Services,7115,Retiree Health Care-OPEB,10848,1046
FY19,Engineering,Engineering Services,Non-Projects Engineering,2000 - Non-Projects Engineering,6220,Engineering Services,EXPENSE,Personnel Services,7120,Retirement Fund Contribution,19940,1047
FY19,Engineering,Engineering Services,Non-Projects Engineering,2000 - Non-Projects Engineering,6220,Engineering Services,EXPENSE,Personnel Services,7135,Unemployment Compensation,132,1048
FY19,Engineering,Engineering Services,Development Center,5000 - Development Center,6220,Engineering Services,EXPENSE,Other Financing,9954,Operating Trans-Dev Center,1988,1049
FY19,Engineering,Engineering Services,Projects Engineering,6000 - Projects Engineering,6220,Engineering Services,EXPENSE,Personnel Services,7020,Full Time Employees,1596375,1050
FY19,Engineering,Engineering Services,Projects Engineering,6000 - Projects Engineering,6220,Engineering Services,EXPENSE,Personnel Services,7040,Temporary Noncontract Employees,25100,1051
FY19,Engineering,Engineering Services,Projects Engineering,6000 - Projects Engineering,6220,Engineering Services,EXPENSE,Personnel Services,7105,Employers FICA,122147,1052
FY19,Engineering,Engineering Services,Projects Engineering,6000 - Projects Engineering,6220,Engineering Services,EXPENSE,Personnel Services,7110,Hospitalization Insurance,309600,1053
FY19,Engineering,Engineering Services,Projects Engineering,6000 - Projects Engineering,6220,Engineering Services,EXPENSE,Personnel Services,7115,Retiree Health Care-OPEB,197097,1054
FY19,Engineering,Engineering Services,Projects Engineering,6000 - Projects Engineering,6220,Engineering Services,EXPENSE,Personnel Services,7120,Retirement Fund Contribution,362427,1055
FY19,Engineering,Engineering Services,Projects Engineering,6000 - Projects Engineering,6220,Engineering Services,EXPENSE,Personnel Services,7135,Unemployment Compensation,2220,1056
FY19,Engineering,Engineering Services,Major FAU Operations,6010 - Major FAU Operations,2020,Major Streets,EXPENSE,Capital Outlays,9885,Street Preventative Maintenance,210363,1057
FY19,Engineering,Engineering Services,Major FAU Operations,6010 - Major FAU Operations,2020,Major Streets,EXPENSE,Capital Outlays,9890,Street Rehabilitation,2058183,1058
FY19,Engineering,Engineering Services,Major FAU Operations,6010 - Major FAU Operations,2020,Major Streets,EXPENSE,Capital Outlays,9895,Street Reconstruction,1074249,1059
FY19,Engineering,Engineering Services,Major FAU Operations,6010 - Major FAU Operations,2020,Major Streets,EXPENSE,Other Financing,9955,Operating Trans-Misc,3411315,1060
FY19,Engineering,Engineering Services,Major Non-FAU Operations,6020 - Major Non-FAU Operations,2020,Major Streets,EXPENSE,Capital Outlays,9895,Street Reconstruction,199470,1061
FY19,Engineering,Engineering Services,Local Operations,6030 - Local Operations,2030,Local Streets,EXPENSE,Capital Outlays,9885,Street Preventative Maintenance,2906125,1062
FY19,Engineering,Engineering Services,Local Operations,6030 - Local Operations,2030,Local Streets,EXPENSE,Capital Outlays,9890,Street Rehabilitation,482371,1063
FY19,Engineering,Engineering Services,Local Operations,6030 - Local Operations,2030,Local Streets,EXPENSE,Capital Outlays,9895,Street Reconstruction,740679,1064
FY19,Engineering,Engineering Services,Local Operations,6030 - Local Operations,2030,Local Streets,EXPENSE,Other Financing,9955,Operating Trans-Misc,1600000,1065
FY19,Engineering,Engineering Services,Sidewalks,8000 - Sidewalks,2460,Sidewalk Repair,EXPENSE,Personnel Services,7020,Full Time Employees,195036,1066
FY19,Engineering,Engineering Services,Sidewalks,8000 - Sidewalks,2460,Sidewalk Repair,EXPENSE,Personnel Services,7055,Time & One-half,5000,1067
FY19,Engineering,Engineering Services,Sidewalks,8000 - Sidewalks,2460,Sidewalk Repair,EXPENSE,Personnel Services,7105,Employers FICA,15308,1068
FY19,Economic Development,Parking,Off Street-Facilities Maint,4002 - Off Street-Facilities Maint,5140,Parking Operating,EXPENSE,Other Services and Charges,8010,Contractual Services,225000,1069
FY19,Economic Development,Parking,Off Street-Facilities Maint,4002 - Off Street-Facilities Maint,5140,Parking Operating,EXPENSE,Other Services and Charges,8011,Contract Employees-Temporary Services,80000,1070
FY19,Economic Development,Parking,Off Street-Facilities Maint,4002 - Off Street-Facilities Maint,5140,Parking Operating,EXPENSE,Other Services and Charges,8500,Telephone,1000,1071
FY19,Economic Development,Parking,Off Street-Facilities Maint,4002 - Off Street-Facilities Maint,5140,Parking Operating,EXPENSE,Other Services and Charges,9340,Maintenance Service,1000000,1072
FY19,Economic Development,Parking,Off Street-Facilities Maint,4002 - Off Street-Facilities Maint,5140,Parking Operating,EXPENSE,Other Services and Charges,9410,Equipment Rentals or Lease,18483,1073
FY19,Economic Development,Parking,Off Street-Facilities Maint,4002 - Off Street-Facilities Maint,5140,Parking Operating,EXPENSE,Other Services and Charges,9440,Fleet Management Equipment Charges,115858,1074
FY19,Executive Office,311 Customer Service,311 Service-Operations,2000 - 311 Service-Operations,6110,Customer Service,EXPENSE,Personnel Services,7120,Retirement Fund Contribution,186528,1075
FY19,Economic Development,Parking,Off Street-DDA,4003 - Off Street-DDA,5140,Parking Operating,EXPENSE,Personnel Services,7020,Full Time Employees,59827,1076
FY19,Economic Development,Parking,Off Street-DDA,4003 - Off Street-DDA,5140,Parking Operating,EXPENSE,Personnel Services,7040,Temporary Noncontract Employees,5000,1077
FY19,Executive Office,311 Customer Service,311 Service-Operations,2000 - 311 Service-Operations,6110,Customer Service,EXPENSE,Personnel Services,7135,Unemployment Compensation,1109,1078
FY19,Economic Development,Parking,Off Street-DDA,4003 - Off Street-DDA,5140,Parking Operating,EXPENSE,Personnel Services,7050,Regular Hourly Rate,500,1079
FY19,Economic Development,Parking,Off Street-GR Museum,4008 - Off Street-GR Museum,5140,Parking Operating,EXPENSE,Personnel Services,7020,Full Time Employees,15336,1080
FY19,Economic Development,Parking,Off Street-GR Museum,4008 - Off Street-GR Museum,5140,Parking Operating,EXPENSE,Personnel Services,7105,Employers FICA,1175,1081
FY19,Economic Development,Parking,Off Street-GR Museum,4008 - Off Street-GR Museum,5140,Parking Operating,EXPENSE,Personnel Services,7110,Hospitalization Insurance,4320,1082
FY19,Economic Development,Parking,Off Street-GR Museum,4008 - Off Street-GR Museum,5140,Parking Operating,EXPENSE,Personnel Services,7115,Retiree Health Care-OPEB,1891,1083
FY19,Economic Development,Parking,Off Street-GR Museum,4008 - Off Street-GR Museum,5140,Parking Operating,EXPENSE,Personnel Services,7120,Retirement Fund Contribution,3482,1084
FY19,Economic Development,Parking,Off Street-GR Museum,4008 - Off Street-GR Museum,5140,Parking Operating,EXPENSE,Personnel Services,7135,Unemployment Compensation,12,1085
FY19,Economic Development,Parking,Off Street-GR Museum,4008 - Off Street-GR Museum,5140,Parking Operating,EXPENSE,Supplies,7520,Supplies,500,1086
FY19,Economic Development,Parking,Off Street-GR Museum,4008 - Off Street-GR Museum,5140,Parking Operating,EXPENSE,Other Services and Charges,8011,Contract Employees-Temporary Services,1000,1087
FY19,Economic Development,Parking,Off Street-GR Museum,4008 - Off Street-GR Museum,5140,Parking Operating,EXPENSE,Other Services and Charges,8240,Fees,4520,1088
FY19,Economic Development,Parking,Off Street-GR Museum,4008 - Off Street-GR Museum,5140,Parking Operating,EXPENSE,Other Services and Charges,9340,Maintenance Service,15000,1089
FY19,Economic Development,Parking,Off Street-GR Museum,4008 - Off Street-GR Museum,5140,Parking Operating,EXPENSE,Other Services and Charges,9440,Fleet Management Equipment Charges,9538,1090
FY19,Economic Development,Parking,Off Street-McConnell Ionia,4009 - Off Street-McConnell Ionia,5140,Parking Operating,EXPENSE,Supplies,7520,Supplies,500,1091
FY19,Economic Development,Parking,Off Street-McConnell Ionia,4009 - Off Street-McConnell Ionia,5140,Parking Operating,EXPENSE,Other Services and Charges,8011,Contract Employees-Temporary Services,2500,1092
FY19,Economic Development,Parking,Off Street-McConnell Ionia,4009 - Off Street-McConnell Ionia,5140,Parking Operating,EXPENSE,Other Services and Charges,8240,Fees,3000,1093
FY19,Economic Development,Parking,Off Street-McConnell Ionia,4009 - Off Street-McConnell Ionia,5140,Parking Operating,EXPENSE,Other Services and Charges,9200,Electricity,5000,1094
FY19,Economic Development,Parking,Off Street-McConnell Ionia,4009 - Off Street-McConnell Ionia,5140,Parking Operating,EXPENSE,Other Services and Charges,9340,Maintenance Service,10000,1095
FY19,Economic Development,Parking,Off Street-McConnell Ionia,4009 - Off Street-McConnell Ionia,5140,Parking Operating,EXPENSE,Other Services and Charges,9400,Land Rental or Lease,20000,1096
FY19,Economic Development,Parking,Off Street-McConnell Ionia,4009 - Off Street-McConnell Ionia,5140,Parking Operating,EXPENSE,Other Services and Charges,9630,Property Taxes,10000,1097
FY19,Economic Development,Parking,Mobility,5000 - Mobility,5140,Parking Operating,EXPENSE,Supplies,7520,Supplies,60000,1098
FY19,Economic Development,Parking,Mobility,5000 - Mobility,5140,Parking Operating,EXPENSE,Other Services and Charges,8010,Contractual Services,200000,1099
FY19,Economic Development,Parking,Mobility,5000 - Mobility,5140,Parking Operating,EXPENSE,Other Services and Charges,8011,Contract Employees-Temporary Services,150000,1100
FY19,Economic Development,Parking,Mobility,5000 - Mobility,5140,Parking Operating,EXPENSE,Other Services and Charges,8800,Community Promotion,25000,1101
FY19,Economic Development,Parking,Mobility,5000 - Mobility,5140,Parking Operating,EXPENSE,Other Services and Charges,9010,Advertising - Any Media,50000,1102
FY19,Economic Development,Parking,Mobility,5000 - Mobility,5140,Parking Operating,EXPENSE,Other Services and Charges,9130,Local Business Expense,10000,1103
FY19,Economic Development,Parking,Mobility,5000 - Mobility,5140,Parking Operating,EXPENSE,Other Services and Charges,9410,Equipment Rentals or Lease,5000,1104
FY19,Economic Development,Parking,Mobility,5000 - Mobility,5140,Parking Operating,EXPENSE,Capital Outlays,9840,Software,50000,1105
FY19,Economic Development,Parking,Dash Shuttle Bus Service,6000 - Dash Shuttle Bus Service,5140,Parking Operating,EXPENSE,Personnel Services,7020,Full Time Employees,10476,1106
FY19,Economic Development,Parking,Dash Shuttle Bus Service,6000 - Dash Shuttle Bus Service,5140,Parking Operating,EXPENSE,Personnel Services,7105,Employers FICA,804,1107
FY19,Economic Development,Parking,Dash Shuttle Bus Service,6000 - Dash Shuttle Bus Service,5140,Parking Operating,EXPENSE,Personnel Services,7110,Hospitalization Insurance,2160,1108
FY19,Economic Development,Parking,Dash Shuttle Bus Service,6000 - Dash Shuttle Bus Service,5140,Parking Operating,EXPENSE,Personnel Services,7115,Retiree Health Care-OPEB,1296,1109
FY19,Economic Development,Parking,Dash Shuttle Bus Service,6000 - Dash Shuttle Bus Service,5140,Parking Operating,EXPENSE,Personnel Services,7120,Retirement Fund Contribution,2376,1110
FY19,Economic Development,Parking,Dash Shuttle Bus Service,6000 - Dash Shuttle Bus Service,5140,Parking Operating,EXPENSE,Personnel Services,7135,Unemployment Compensation,12,1111
FY19,Economic Development,Parking,Dash Shuttle Bus Service,6000 - Dash Shuttle Bus Service,5140,Parking Operating,EXPENSE,Supplies,7520,Supplies,10000,1112
FY19,Economic Development,Parking,Dash Shuttle Bus Service,6000 - Dash Shuttle Bus Service,5140,Parking Operating,EXPENSE,Other Services and Charges,8010,Contractual Services,1500000,1113
FY19,Economic Development,Parking,Capital Projects,9000 - Capital Projects,5141,Parking Capital Projects,EXPENSE,Capital Outlays,9760,Equipment,1550000,1114
FY19,Economic Development,Parking,Capital Projects,9000 - Capital Projects,5141,Parking Capital Projects,EXPENSE,Capital Outlays,9805,Computer Equipment,200000,1115
FY19,Economic Development,Parking,Capital Projects,9000 - Capital Projects,5141,Parking Capital Projects,EXPENSE,Capital Outlays,9810,Vehicles,500000,1116
FY19,Economic Development,Parking,Capital Projects,9000 - Capital Projects,5141,Parking Capital Projects,EXPENSE,Capital Outlays,9880,Construction In Progress,3500000,1117
FY19,Economic Development,Parking,Capital Projects,9000 - Capital Projects,5141,Parking Capital Projects,EXPENSE,Other Financing,9953,Operating Trans-Capt Projects,1071200,1118
FY19,Engineering,Engineering Services,Administration,1000 - Administration,6220,Engineering Services,EXPENSE,Personnel Services,7020,Full Time Employees,1039414,1119
FY19,Engineering,Engineering Services,Administration,1000 - Administration,6220,Engineering Services,EXPENSE,Personnel Services,7025,Acting Assignment,9000,1120
FY19,Engineering,Engineering Services,Administration,1000 - Administration,6220,Engineering Services,EXPENSE,Personnel Services,7055,Time & One-half,10000,1121
FY19,Engineering,Engineering Services,Administration,1000 - Administration,6220,Engineering Services,EXPENSE,Personnel Services,7105,Employers FICA,82945,1122
FY19,Executive Office,311 Customer Service,311 Service-Operations,2000 - 311 Service-Operations,6110,Customer Service,EXPENSE,Supplies,7520,Supplies,6071,1123
FY19,Economic Development,Parking,Off Street-DDA,4003 - Off Street-DDA,5140,Parking Operating,EXPENSE,Personnel Services,7055,Time & One-half,500,1124
FY19,Economic Development,Parking,Off Street-DDA,4003 - Off Street-DDA,5140,Parking Operating,EXPENSE,Personnel Services,7105,Employers FICA,5030,1125
FY19,Economic Development,Parking,Off Street-DDA,4003 - Off Street-DDA,5140,Parking Operating,EXPENSE,Personnel Services,7110,Hospitalization Insurance,15840,1126
FY19,Economic Development,Parking,Off Street-DDA,4003 - Off Street-DDA,5140,Parking Operating,EXPENSE,Personnel Services,7115,Retiree Health Care-OPEB,7384,1127
FY19,Economic Development,Parking,Off Street-DDA,4003 - Off Street-DDA,5140,Parking Operating,EXPENSE,Personnel Services,7120,Retirement Fund Contribution,13584,1128
FY19,Economic Development,Parking,Off Street-DDA,4003 - Off Street-DDA,5140,Parking Operating,EXPENSE,Personnel Services,7135,Unemployment Compensation,96,1129
FY19,Economic Development,Parking,Off Street-DDA,4003 - Off Street-DDA,5140,Parking Operating,EXPENSE,Personnel Services,7165,Shift Differential,1000,1130
FY19,Economic Development,Parking,Off Street-DDA,4003 - Off Street-DDA,5140,Parking Operating,EXPENSE,Supplies,7520,Supplies,1000,1131
FY19,Economic Development,Parking,Off Street-DDA,4003 - Off Street-DDA,5140,Parking Operating,EXPENSE,Supplies,7670,Clothing,5000,1132
FY19,Economic Development,Parking,Off Street-DDA,4003 - Off Street-DDA,5140,Parking Operating,EXPENSE,Other Services and Charges,8011,Contract Employees-Temporary Services,40000,1133
FY19,Economic Development,Parking,Off Street-DDA,4003 - Off Street-DDA,5140,Parking Operating,EXPENSE,Other Services and Charges,8240,Fees,20340,1134
FY19,Economic Development,Parking,Off Street-DDA,4003 - Off Street-DDA,5140,Parking Operating,EXPENSE,Other Services and Charges,9340,Maintenance Service,50000,1135
FY19,Economic Development,Parking,Off Street-Securing,4006 - Off Street-Securing,5140,Parking Operating,EXPENSE,Personnel Services,7020,Full Time Employees,13191,1136
FY19,Economic Development,Parking,Off Street-Securing,4006 - Off Street-Securing,5140,Parking Operating,EXPENSE,Personnel Services,7040,Temporary Noncontract Employees,5000,1137
FY19,Economic Development,Parking,Off Street-Securing,4006 - Off Street-Securing,5140,Parking Operating,EXPENSE,Personnel Services,7055,Time & One-half,500,1138
FY19,Economic Development,Parking,Off Street-Securing,4006 - Off Street-Securing,5140,Parking Operating,EXPENSE,Personnel Services,7105,Employers FICA,1425,1139
FY19,Economic Development,Parking,Off Street-Securing,4006 - Off Street-Securing,5140,Parking Operating,EXPENSE,Personnel Services,7110,Hospitalization Insurance,2880,1140
FY19,Economic Development,Parking,Off Street-Securing,4006 - Off Street-Securing,5140,Parking Operating,EXPENSE,Personnel Services,7115,Retiree Health Care-OPEB,1629,1141
FY19,Economic Development,Parking,Off Street-Securing,4006 - Off Street-Securing,5140,Parking Operating,EXPENSE,Personnel Services,7120,Retirement Fund Contribution,2993,1142
FY19,Economic Development,Parking,Off Street-Securing,4006 - Off Street-Securing,5140,Parking Operating,EXPENSE,Personnel Services,7135,Unemployment Compensation,24,1143
FY19,Economic Development,Parking,Off Street-Securing,4006 - Off Street-Securing,5140,Parking Operating,EXPENSE,Supplies,7670,Clothing,6000,1144
FY19,Economic Development,Parking,Off Street-Securing,4006 - Off Street-Securing,5140,Parking Operating,EXPENSE,Other Services and Charges,8011,Contract Employees-Temporary Services,250000,1145
FY19,Economic Development,Parking,Off Street-Securing,4006 - Off Street-Securing,5140,Parking Operating,EXPENSE,Other Services and Charges,9410,Equipment Rentals or Lease,9404,1146
FY19,Economic Development,Parking,Off Street-Securing,4006 - Off Street-Securing,5140,Parking Operating,EXPENSE,Other Services and Charges,9440,Fleet Management Equipment Charges,77250,1147
FY19,Economic Development,Parking,Off Street-DeVos Place,4007 - Off Street-DeVos Place,5140,Parking Operating,EXPENSE,Personnel Services,7020,Full Time Employees,50329,1148
FY19,Economic Development,Parking,Off Street-DeVos Place,4007 - Off Street-DeVos Place,5140,Parking Operating,EXPENSE,Personnel Services,7040,Temporary Noncontract Employees,8000,1149
FY19,Economic Development,Parking,Off Street-DeVos Place,4007 - Off Street-DeVos Place,5140,Parking Operating,EXPENSE,Personnel Services,7050,Regular Hourly Rate,500,1150
FY19,Economic Development,Parking,Off Street-DeVos Place,4007 - Off Street-DeVos Place,5140,Parking Operating,EXPENSE,Personnel Services,7055,Time & One-half,1000,1151
FY19,Economic Development,Parking,Off Street-DeVos Place,4007 - Off Street-DeVos Place,5140,Parking Operating,EXPENSE,Personnel Services,7105,Employers FICA,4579,1152
FY19,Economic Development,Parking,Off Street-DeVos Place,4007 - Off Street-DeVos Place,5140,Parking Operating,EXPENSE,Personnel Services,7110,Hospitalization Insurance,12960,1153
FY19,Economic Development,Parking,Off Street-DeVos Place,4007 - Off Street-DeVos Place,5140,Parking Operating,EXPENSE,Personnel Services,7115,Retiree Health Care-OPEB,6227,1154
FY19,Economic Development,Parking,Off Street-DeVos Place,4007 - Off Street-DeVos Place,5140,Parking Operating,EXPENSE,Personnel Services,7120,Retirement Fund Contribution,11424,1155
FY19,Economic Development,Parking,Off Street-DeVos Place,4007 - Off Street-DeVos Place,5140,Parking Operating,EXPENSE,Personnel Services,7135,Unemployment Compensation,72,1156
FY19,Economic Development,Parking,Off Street-DeVos Place,4007 - Off Street-DeVos Place,5140,Parking Operating,EXPENSE,Personnel Services,7165,Shift Differential,500,1157
FY19,Executive Office,311 Customer Service,311 Service-Operations,2000 - 311 Service-Operations,6110,Customer Service,EXPENSE,Supplies,7910,Subscriptions and Publications,250,1158
FY19,Executive Office,311 Customer Service,311 Service-Operations,2000 - 311 Service-Operations,6110,Customer Service,EXPENSE,Other Services and Charges,8011,Contract Employees-Temporary Services,70000,1159
FY19,Executive Office,311 Customer Service,311 Service-Operations,2000 - 311 Service-Operations,6110,Customer Service,EXPENSE,Other Services and Charges,8450,Claims,15220,1160
FY19,Executive Office,311 Customer Service,311 Service-Operations,2000 - 311 Service-Operations,6110,Customer Service,EXPENSE,Other Services and Charges,8505,Employee Phone Reimbursement,541,1161
FY19,Executive Office,311 Customer Service,311 Service-Operations,2000 - 311 Service-Operations,6110,Customer Service,EXPENSE,Other Services and Charges,8800,Community Promotion,500,1162
FY19,Executive Office,311 Customer Service,311 Service-Operations,2000 - 311 Service-Operations,6110,Customer Service,EXPENSE,Other Services and Charges,9000,Printing & Publishing,500,1163
FY19,Executive Office,311 Customer Service,311 Service-Operations,2000 - 311 Service-Operations,6110,Customer Service,EXPENSE,Other Services and Charges,9100,Professional Development,500,1164
FY19,Executive Office,311 Customer Service,311 Service-Operations,2000 - 311 Service-Operations,6110,Customer Service,EXPENSE,Other Services and Charges,9110,Other Travel & Training,500,1165
FY19,Executive Office,311 Customer Service,311 Service-Operations,2000 - 311 Service-Operations,6110,Customer Service,EXPENSE,Other Services and Charges,9130,Local Business Expense,250,1166
FY19,Executive Office,311 Customer Service,311 Service-Operations,2000 - 311 Service-Operations,6110,Customer Service,EXPENSE,Other Services and Charges,9150,Memberships,250,1167
FY19,Executive Office,311 Customer Service,311 Service-Operations,2000 - 311 Service-Operations,6110,Customer Service,EXPENSE,Other Services and Charges,9410,Equipment Rentals or Lease,6800,1168
FY19,Executive Office,311 Customer Service,311 Service-Operations,2000 - 311 Service-Operations,6110,Customer Service,EXPENSE,Other Services and Charges,9430,Buildings Rentals or Lease-Facility Mgmt,54524,1169
FY19,Executive Office,311 Customer Service,311 Service-Operations,2000 - 311 Service-Operations,6110,Customer Service,EXPENSE,Other Services and Charges,9470,Employee Parking,11880,1170
FY19,Executive Office,311 Customer Service,311 Service-Operations,2000 - 311 Service-Operations,6110,Customer Service,EXPENSE,Other Services and Charges,9480,Computer Services-from IT,93706,1171
FY19,Executive Office,311 Customer Service,311 Service-Operations,2000 - 311 Service-Operations,6110,Customer Service,EXPENSE,Capital Outlays,9760,Equipment,2800,1172
FY19,Executive Office,311 Customer Service,311 Service-Operations,2000 - 311 Service-Operations,6110,Customer Service,EXPENSE,Other Financing,9952,Operating Transfers-A87 Cost,86084,1173
FY19,Executive Office,Executive Office,Management Services,2001 - Management Services,1010,General Fund Operating,EXPENSE,Personnel Services,7020,Full Time Employees,221539,1174
FY19,Executive Office,Executive Office,Management Services,2001 - Management Services,1010,General Fund Operating,EXPENSE,Personnel Services,7105,Employers FICA,16954,1175
FY19,Executive Office,Executive Office,Management Services,2001 - Management Services,1010,General Fund Operating,EXPENSE,Personnel Services,7110,Hospitalization Insurance,31680,1176
FY19,Executive Office,Executive Office,Management Services,2001 - Management Services,1010,General Fund Operating,EXPENSE,Personnel Services,7115,Retiree Health Care-OPEB,27622,1177
FY19,Executive Office,Executive Office,Management Services,2001 - Management Services,1010,General Fund Operating,EXPENSE,Personnel Services,7120,Retirement Fund Contribution,50790,1178
FY19,Executive Office,Executive Office,Management Services,2001 - Management Services,1010,General Fund Operating,EXPENSE,Personnel Services,7135,Unemployment Compensation,300,1179
FY19,Executive Office,Executive Office,Management Services,2001 - Management Services,1010,General Fund Operating,EXPENSE,Supplies,7910,Subscriptions and Publications,200,1180
FY19,Executive Office,Executive Office,Management Services,2001 - Management Services,1010,General Fund Operating,EXPENSE,Other Services and Charges,8010,Contractual Services,5000,1181
FY19,Executive Office,Executive Office,Management Services,2001 - Management Services,1010,General Fund Operating,EXPENSE,Other Services and Charges,8800,Community Promotion,10000,1182
FY19,Executive Office,Executive Office,Management Services,2001 - Management Services,1010,General Fund Operating,EXPENSE,Other Services and Charges,9100,Professional Development,4000,1183
FY19,Executive Office,Executive Office,Management Services,2001 - Management Services,1010,General Fund Operating,EXPENSE,Other Services and Charges,9150,Memberships,1000,1184
FY19,Executive Office,Executive Office,Police Community Relations,2100 - Police Community Relations,1010,General Fund Operating,EXPENSE,Other Services and Charges,8010,Contractual Services,1000000,1185
FY19,Executive Office,Executive Office,Neighborhoods,2200 - Neighborhoods,1010,General Fund Operating,EXPENSE,Other Services and Charges,8010,Contractual Services,33000,1186
FY19,Executive Office,Executive Office,Neighborhoods,2200 - Neighborhoods,1010,General Fund Operating,EXPENSE,Other Services and Charges,8800,Community Promotion,75000,1187
FY19,Executive Office,Executive Office,Neighborhoods,2200 - Neighborhoods,1010,General Fund Operating,EXPENSE,Other Services and Charges,9130,Local Business Expense,50000,1188
FY19,Executive Office,311 Customer Service,Web Content Mgmt System-WCMS,3000 - Web Content Mgmt System-WCMS,6110,Customer Service,EXPENSE,Other Services and Charges,8010,Contractual Services,157555,1189
FY19,Executive Office,Executive Office,Communications,5000 - Communications,1010,General Fund Operating,EXPENSE,Personnel Services,7020,Full Time Employees,219176,1190
FY19,Executive Office,Executive Office,Communications,5000 - Communications,1010,General Fund Operating,EXPENSE,Personnel Services,7105,Employers FICA,16762,1191
FY19,Executive Office,Executive Office,Communications,5000 - Communications,1010,General Fund Operating,EXPENSE,Personnel Services,7110,Hospitalization Insurance,28800,1192
FY19,Executive Office,Executive Office,Communications,5000 - Communications,1010,General Fund Operating,EXPENSE,Personnel Services,7115,Retiree Health Care-OPEB,27331,1193
FY19,Executive Office,Executive Office,Communications,5000 - Communications,1010,General Fund Operating,EXPENSE,Personnel Services,7120,Retirement Fund Contribution,50249,1194
FY19,Executive Office,Executive Office,Communications,5000 - Communications,1010,General Fund Operating,EXPENSE,Personnel Services,7135,Unemployment Compensation,301,1195
FY19,Executive Office,Executive Office,Communications,5000 - Communications,1010,General Fund Operating,EXPENSE,Other Services and Charges,8010,Contractual Services,47000,1196
FY19,Executive Office,Executive Office,Communications,5000 - Communications,1010,General Fund Operating,EXPENSE,Other Services and Charges,9000,Printing & Publishing,32000,1197
FY19,Executive Office,Executive Office,Communications,5000 - Communications,1010,General Fund Operating,EXPENSE,Other Services and Charges,9100,Professional Development,1000,1198
